FMCG,Quarter,Net Profit/(Loss) For the Period,Total Income From Operations,P/L Before Tax,Net Sales/Income from operations,Equity Share Capital,Non Current Asset,Current Asset,Total Asset,"P/L Before Int., Excpt. Items & Tax",Fixed Assets,Total Current Assets,Total Current Liabilities,Interest,EPS,NASDAQ INDEX,NSE FMCG Index,Crude Oil in USD,RBI Repo Rate
EMAMILTD,2017q2,68.65,527.68,79.72,527.54,22.7,2116.1,324.88,2440.98,96.36,1972.32,324.88,663.85,16.64,3.02,6128.85,25423.08333,50.8,0.06
EMAMILTD,2017q3,6.3,499.1,7.05,499.1,22.7,2116.1,324.88,2440.98,14.75,1972.32,324.88,663.85,7.7,0.28,6424.25,25353.35,50.8,0.06
EMAMILTD,2017q4,103.94,579.01,123.18,579.01,22.7,2116.1,324.88,2440.98,133.32,1972.32,324.88,663.85,10.14,4.58,6835.01,26119.75,50.8,0.06
EMAMILTD,2018q1,149.07,715.59,182.34,715.59,22.7,2116.1,324.88,2440.98,191.27,1972.32,324.88,663.85,8.93,6.57,7249.31,26589.46667,65.23,0.06
EMAMILTD,2018q2,50.21,568.92,76.67,568.92,22.7,2055.93,541.95,2597.88,83.07,1793.37,541.95,556.91,6.4,2.21,7339.56,28851.01667,65.23,0.06
EMAMILTD,2018q3,40.32,574.88,48.12,574.88,45.39,2055.93,541.95,2597.88,52.34,1793.37,541.95,556.91,4.22,0.89,7942.56,31225.5,65.23,0.0625
EMAMILTD,2018q4,78.6,571.92,101.65,571.92,45.39,2055.93,541.95,2597.88,105.54,1793.37,541.95,556.91,3.89,1.73,7090.57,29730,65.23,0.065
MARICO,2014q1,141.79,930.2,177.68,928.23,64.49,1842.24,1326.03,3168.27,183.98,480.57,1326.03,796,6.3,2.2,4203.66,17264.05,93.17,0.08
MARICO,2014q2,177.12,852.17,214.29,850.27,64.49,1851.87,1291.71,3143.58,219.91,496.2,1291.71,905.95,5.62,2.75,4255.12,17612.95,93.17,0.08
MARICO,2014q3,144.39,1352.22,195.86,1348.65,64.49,1851.87,1291.71,3143.58,201.98,496.2,1291.71,905.95,6.12,2.24,4481.14,19321.13333,93.17,0.08
MARICO,2014q4,128.2,1144.17,172.99,1142.54,64.49,1851.87,1291.71,3143.58,176.94,496.2,1291.71,905.95,3.94,1.99,4719.47,19849.18333,93.17,0.08
MARICO,2015q1,131.86,1192.88,175.85,1189.57,64.49,1851.87,1291.71,3143.58,178.91,496.2,1291.71,905.95,3.06,2.04,4833.22,20715.9,48.66,0.0775
MARICO,2015q2,140.72,991.94,186.33,988.81,64.5,1802.35,1428.71,3231.06,190.18,483.63,1428.71,705.48,3.85,2.18,4999.44,19924.58333,48.66,0.075
MARICO,2015q3,182.12,1444.09,254.99,1442.46,64.51,1802.35,1428.71,3231.06,258.16,483.63,1428.71,705.48,3.17,1.41,4841.65,20329.53333,48.66,0.0725
MARICO,2015q4,129.92,1154.19,177.6,1152.41,64.51,1802.35,1428.71,3231.06,179.89,483.63,1428.71,705.48,2.29,1.02,5056.61,20196.5,48.66,0.0675
MARICO,2016q1,234.61,1234.82,299.49,1233.17,129.02,1802.35,1428.71,3231.06,304.43,483.63,1428.71,705.48,4.94,1.82,4680.58,19076.13333,43.29,0.065
MARICO,2016q2,144.64,1034.9,203.7,1030.77,129.02,1811.6,1681.04,3492.64,208.47,490.67,1681.04,883.65,4.77,1.17,4855.36,20622.6,43.29,0.0625
MARICO,2016q3,234.88,1454.39,317.91,1450.11,129.02,1811.6,1681.04,3492.64,321.33,490.67,1681.04,883.65,3.42,1.83,5229.12,22126.73333,43.29,0.065
